c0=-58.554440, c1=-32.244713, c2=253.905350, c3=102.774384
c0=-23.630888, c1=-308.446411, c2=-243.056595, c3=-200.160507
c0=258.831635, c1=-95.792892, c2=-90.246796, c3=234.957397
c0=35.880325, c1=111.045418, c2=-441.849762, c3=165.620392
c0=317.551727, c1=-177.331573, c2=213.079269, c3=-399.704651
c0=98.036888, c1=33.558727, c2=-135.028931, c3=-466.192505
c0=376.552155, c1=-258.430847, c2=14.604509, c3=465.710175
c0=-344.102234, c1=450.253845, c2=166.479355, c3=398.426239
c0=-236.249771, c1=472.150970, c2=-260.936188, c3=-303.632050
c0=-456.797455, c1=180.164398, c2=388.342865, c3=129.036545
c0=321.257660, c1=388.882385, c2=-459.891907, c3=60.647369
c0=104.602638, c1=104.454933, c2=197.159714, c3=496.587463
c0=-120.825943, c1=308.766357, c2=-157.874313, c3=425.102051
c0=-339.889984, c1=-479.130219, c2=496.087494, c3=359.046051
c0=440.807526, c1=-269.867035, c2=148.701965, c3=-207.083054
c0=-278.161591, c1=442.755035, c2=301.869385, c3=226.845795
c0=-176.901871, c1=-45.902073, c2=365.203217, c3=19.355415
c0=-394.491547, c1=-331.368195, c2=-479.925079, c3=454.430054
c0=386.789307, c1=380.809021, c2=-325.789917, c3=-111.320999
c0=-331.894226, c1=89.880409, c2=326.655029, c3=323.071228
c0=-48.534931, c1=-196.328049, c2=-18.172979, c3=-240.970993
c0=223.948715, c1=6.835043, c2=126.342300, c3=185.828323
c0=4.512727, c1=218.428436, c2=279.002594, c3=-380.594086
c0=288.651459, c1=-67.994240, c2=-65.144867, c3=56.088150
c0=388.068787, c1=-56.421398, c2=-1.141906, c3=-152.931992
c0=-150.532898, c1=351.665253, c2=-262.264435, c3=423.080383
c0=451.006592, c1=367.829987, c2=-194.396408, c3=-284.225800
c0=231.169937, c1=-423.631317, c2=457.315674, c3=149.184708
c0=-489.131195, c1=-213.206345, c2=-391.513458, c3=-417.985229
c0=287.619934, c1=-6.043643, c2=-241.317505, c3=-487.474731
c0=-424.811707, c1=211.366180, c2=-84.323792, c3=451.902863
c0=353.044495, c1=420.757172, c2=67.438187, c3=383.291199
c0=-373.325928, c1=123.777985, c2=212.568283, c3=311.114441
c0=-88.832352, c1=340.068329, c2=-129.839249, c3=-251.986176
c0=-306.556396, c1=-449.664581, c2=23.174704, c3=-316.827728
c0=293.290131, c1=-437.153839, c2=87.989090, c3=474.495819
c0=-428.619904, c1=-227.669952, c2=237.806320, c3=405.941956
c0=-143.976654, c1=-13.844818, c2=393.220490, c3=-157.000931
c0=134.673721, c1=195.239716, c2=45.281471, c3=-224.891357
c0=415.513885, c1=-92.214584, c2=197.646683, c3=-291.174652
c0=-305.458618, c1=115.268234, c2=-151.303772, c3=141.303894
c0=475.624634, c1=326.949432, c2=-498.271301, c3=75.340569
c0=-426.593262, c1=-159.307236, c2=-432.889282, c3=-135.141434
c0=351.106110, c1=-454.634705, c2=-286.239441, c3=296.114807
c0=-366.203125, c1=-240.213608, c2=370.334381, c3=-268.443634
c0=421.064148, c1=474.627197, c2=27.226269, c3=170.872086
c0=200.218857, c1=-316.637604, c2=178.227066, c3=-396.641724
c0=-21.162838, c1=391.914734, c2=328.148529, c3=-464.669556
c0=258.905945, c1=-393.591095, c2=481.920288, c3=-31.658024
c0=41.445553, c1=315.983307, c2=-365.908875, c3=403.716095
c0=137.763199, c1=325.869690, c2=196.528671, c3=-307.919678
c0=-84.046455, c1=33.874275, c2=-153.524490, c3=-376.267670
c0=-302.250610, c1=246.793564, c2=1.040518, c3=-441.614685
c0=-19.677908, c1=459.831726, c2=155.883194, c3=-6.287336
c0=-243.430710, c1=166.198792, c2=-195.993271, c3=423.708984
c0=-458.458984, c1=-118.634674, c2=462.100037, c3=-138.864197
c0=324.119263, c1=-408.584564, c2=112.795708, c3=296.405426
c0=-397.062714, c1=301.422943, c2=-236.165344, c3=228.507751
c0=-118.631599, c1=-489.611359, c2=-86.324631, c3=160.281952
c0=165.476440, c1=224.310638, c2=-430.237762, c3=96.930328
c0=-54.335655, c1=434.851288, c2=-275.727905, c3=30.401112
c0=-275.190918, c1=-354.831940, c2=374.781067, c3=462.717773
